data_ID,study_ID,title,year,authors,reported,direction,r,Checked,Order,Genus,Species,animal,N,Mean,Min,Max,SD,Long,Lat,Notes
18,11,"CONSERVATION TECHNIQUE OF THE GREEN TURTLE (Chelonia mydas L. 1758)        NESTS UNDER THE RISK OF TIDAL INUNDATION WITH HATCHERIES, ON SAMANDAG        BEACH, TURKEY",2013,"Sonmez, B and Ozdilek, ST and Sonmez, Bektas and Ozdilek, Sukran Talcm","R2= 0.08436, Calculated from Table 2",+,0.290448,Y. Calculated in R from Table 2,Testudines,chelonia,mydas,Chelonia_mydas,10,29.9,25.4,34.8,1.3,36.103116,35.932364,"this correlation is for ""total dead hatchlings"" which is not ""proportion dead"". However, you can calculate the correlation for HS from Table 2; see the .xls I created and send a .csv to R to calcualte pearson r"
19,12,"Influence of sand grain size and nest microenvironment on incubation        success, hatchling morphology and locomotion performance of green        turtles (Chelonia mydas) at the Chagar Hutang Turtle Sanctuary, Redang        Island, Malaysia",2018,"Stewart, TA and Booth, DT and Rusli, MU and Stewart, Taylor A. and Booth, David T. and Rusli, Mohd Uzair",Emailed: r2= 0.0699,+,0.264386081,"Y, correct",Testudines,chelonia,mydas,Chelonia_mydas,30,31.1,30.6,31.9,0.2,5.812602,103.008604,
20,14,Analysis of the nest environment of tuatara Sphenodon punctatus,1996,"Thompson, MB and Packard, GC and Packard, MJ and Rose, B and Thompson, MB and Packard, GC and Packard, MJ and Rose, B",X2=2.69 DF= 1,-,-0.36674,I get r = 0.36674. see notes,Rhynchocephalia,Sphenodon,punctatus,Sphenodon_punctatus,18,18.2,16.3,19.9,0.89,-9.5069444,143.545,"it might be better to present the analysis from the restricted dataset of Table 2 (x2 = 8.23, n = 18) given that this is the analysis where direction is stated as ""inverse"""
21,15,No evidence of fine scale thermal adaptation in green turtles,2019,"Tilley, D and Ball, S and Ellick, J and Godley, BJ and Weber, N and Weber, SB and Broderick, AC and Tilley, Dominic and Ball, Samantha and Ellick, Jacqui and Godley, Brendan J. and Weber, Nicola and Weber, Sam B. and Broderick, Annette C.","χ2(1): 4.92, negative",-,-0.26141,r = -0.26141 with N = 72. see notes,Testudines,chelonia,mydas,Chelonia_mydas,72,31,,,0.6,-7.916667,-14.342039,"you have N = 26' but it looks like N = 72 (35 + 37) to me. See also Fig 2a, which has many more than 26 points"
22,16,"Are thermal barriers ""higher"" in deep sea turtle nests?",2017,"Tomillo, PS and Fonseca, L and Paladino, FV and Spotila, JR and Oro, D and Tomillo, Pilar Santidrian and Fonseca, Luis and Paladino, Frank V. and Spotila, James R. and Oro, Daniel",Olive Ridley R2 = 0.43,-,-0.655743852,Y,Testudines,lepidochelys,olivacea,Lepidochelys_olivacea,118,32.4,,,2.17,10.853727,-85.836032,
23,16,"Are thermal barriers ""higher"" in deep sea turtle nests?",2017,"Tomillo, PS and Fonseca, L and Paladino, FV and Spotila, JR and Oro, D and Tomillo, Pilar Santidrian and Fonseca, Luis and Paladino, Frank V. and Spotila, James R. and Oro, Daniel",Green: 0.22,-,-0.469041576,Y,Testudines,chelonia,mydas,Chelonia_mydas,78,31.1,,,1.34,10.675315,-85.653049,
24,16,"Are thermal barriers ""higher"" in deep sea turtle nests?",2017,"Tomillo, PS and Fonseca, L and Paladino, FV and Spotila, JR and Oro, D and Tomillo, Pilar Santidrian and Fonseca, Luis and Paladino, Frank V. and Spotila, James R. and Oro, Daniel",Leatherback: 0.25,-,-0.5,Y. N= 985? Table1,Testudines,Dermochelys ,coriacea,Dermochelys_coriacea,985,31,,32,,10.330118,-85.845859,
25,17,Influence of emergence success on the annual reproductive output of        leatherback turtles,2009,"Tomillo, PS and Suss, JS and Wallace, BP and Magrini, KD and Blanco, G and Paladino, FV and Spotila, JR and Tomillo, Pilar Santidrian and Suss, Jack S. and Wallace, Bryan P. and Magrini, Kimberly D. and Blanco, Gabriela and Paladino, Frank V. and Spotila, James R.","F=34.915, df(denom)=143",-,-0.4455,Y,Testudines,Dermochelys ,coriacea,Dermochelys_coriacea,143,,,,,10.334,-85.848,
26,18,"Hatch rates of loggerhead turtles and physical characteristics of the        beach at Fethiye, Turkey",2003,"Turkozan, O and Ilgaz, C and Taskavak, E and Ozdemir, A and Turkozan, O and Ilgaz, C and Taskavak, E and Ozdemir, A",r2=0.0004 negative,-,-0.02,Y,Testudines,caretta,caretta,Caretta_caretta,19,30.48,28.4,31.9,0.25,36.638674,29.121448,
27,19,"Nest site selection and embryonic survival in four-toed salamanders,        Hemidactylium scutatum (Caudata : Plethodontidae)",2008,"Wahl, GW and Harris, RN and Nelms, T and Wahl, George W., III and Harris, Reid N. and Nelms, Tracie",r = -0.314,-,-0.314,Y,Urodela,Hemidactylium,scutatum,Hemidactylium_scutatum,66,,,,,38.466,-79.2089,
28,20,Fine-scale thermal adaptation in a green turtle nesting population,2012,"Weber, SB and Broderick, AC and Groothuis, TGG and Ellick, J and Godley, BJ and Blount, JD and Weber, Sam B. and Broderick, Annette C. and Groothuis, Ton G. G. and Ellick, Jacqui and Godley, Brendan J. and Blount, Jonathan D.","F1,58 = 56.2",-,-0.701512002,Y,Testudines,chelonia,mydas,Chelonia_mydas,58,32.4,31.5,33.6,0.1,-7.923542,-14.407615,
29,21,"Sun exposure, nest temperature and loggerhead turtle hatchlings:        Implications for beach shading management strategies at sea turtle        rookeries",2014,"Wood, A and Booth, DT and Limpus, CJ and Wood, Apanie and Booth, David T. and Limpus, Colin J.",emailed raw data: negative,-,-0.224,"Y, checked in R",Testudines,caretta,caretta,Caretta_caretta,30,30.5,,,0.1,-24.666,152.45,emailed raw data
30,22,Incubation temperature in the wild influences hatchling phenotype of two        freshwater turtle species,2014,"Riley, JL and Freedberg, S and Litzgus, JD and Riley, Julia L. and Freedberg, Steven and Litzgus, Jacqueline D.",R2=0.00759,+,0.0871,"Y, checked in R",Testudines,chrysemys ,picta,Chrysemys_picta,20,22.81,19.55,24.7,0.29,45.58333,-78.5,Julia sent spreadsheets
31,22,Incubation temperature in the wild influences hatchling phenotype of two        freshwater turtle species,2014,"Riley, JL and Freedberg, S and Litzgus, JD and Riley, Julia L. and Freedberg, Steven and Litzgus, Jacqueline D.",R2=0.00399,+,0.063166,"Y, checked in R",Testudines,chelydra,serpentina,Chelydra_serpentina,47,23.21,20.83,24.94,0.16,45.58333,-78.5,Julia sent spreadsheets
4,29,"Incubation temperatures, sex ratio and hatching success of leatherback        turtles (Dermochelys coriacea) in two protected hatcheries on the        central Mexican coast of the Eastern Tropical Pacific Ocean",2019,"Garcia-Grajales, J and Hernando, JFM and Garcia, JLA and Fuentes, ER and Garcia-Grajales, J. and Meraz Hernando, J. F. and Arcos Garcia, J. L. and Ramirez Fuentes, E.",SJ - Table 1 into R for calcs,+,0.245214192,Y,Testudines,Dermochelys,coriacea,Dermochelys_coriacea,26,,,,,,,
5,29,"Incubation temperatures, sex ratio and hatching success of leatherback        turtles (Dermochelys coriacea) in two protected hatcheries on the        central Mexican coast of the Eastern Tropical Pacific Ocean",2019,"Garcia-Grajales, J and Hernando, JFM and Garcia, JLA and Fuentes, ER and Garcia-Grajales, J. and Meraz Hernando, J. F. and Arcos Garcia, J. L. and Ramirez Fuentes, E.",P - Table 1 into R for calcs,+,0.234733892,Y,Testudines,Dermochelys,coriacea,Dermochelys_coriacea,20,,,,,,,
11,37,Nest temperatures and sex-ratio estimates of loggerhead turtles at        Patara beach on the southwestern coast of Turkey,2004,"Oz, M and Erdogan, A and Kaska, Y and Dusen, S and Aslan, A and Sert, H and Yavuz, M and Tunc, MR and Oz, M and Erdogan, A and Kaska, Y and Dusen, S and Aslan, A and Sert, H and Yavuz, M and Tunc, MR",R2=0.7253 calculated in R,-,-0.8516455,"Calculated from Table 2, using R",Testudines,caretta,caretta,Caretta_caretta,4,,,,,,,could calculate from data in Table 1
12,38,"The effect of the predicted air temperature change on incubation        temperature, incubation duration, sex ratio and hatching success of        loggerhead turtles",2011,"Ozdemir, A and Ilgaz, C and Durmus, SH and Guclu, O and Ozdemir, Adem and Ilgaz, Cetin and Durmus, Salih Hakan and Guclu, Ozgur",R2=0.00731 calculated in R,+,0.0854985,"Calculated from Table 1, using R",Testudines,caretta,caretta,Caretta_caretta,19,,,,,,,can calculate from Table 1 HS vs IT
13,39,"Effect of nest temperature on hatchling phenotype of loggerhead turtles        (Caretta caretta) from two South Pacific rookeries, Mon Repos and La        Roche Percee",2012,"Read, T and Booth, DT and Limpus, CJ and Read, Tyffen and Booth, David T. and Limpus, Colin J.",R2 = 0.0325,-,-0.180278,Checked in R. Location RP,Testudines,caretta,caretta,Caretta_caretta,11,,,,,,,can calculate from Table 2
14,39,"Effect of nest temperature on hatchling phenotype of loggerhead turtles        (Caretta caretta) from two South Pacific rookeries, Mon Repos and La        Roche Percee",2012,"Read, T and Booth, DT and Limpus, CJ and Read, Tyffen and Booth, David T. and Limpus, Colin J.",R2= 0.08551,-,-0.292421,Checked in R. Location MP,Testudines,caretta,caretta,Caretta_caretta,16,,,,,,,
16,42,"Temperature incubation and sex ratio in newly hatched newborns of the hawksbill turtle Eretmochelys imbricata (Linnaeus, 1766) in the municipality of Ipojuca, Pernambuco, Brazil ",2014,"Simoes, T.N., da Silva, A.C., dos Santos, E.M., Chagas, C.A.",R2= 0.001262 calculated in R,-,-0.0355246,"Y, Calculated from Tables 2 and 3 in R.",Testudines,eretmochelys,imbricata,Eretmochelys_imbricata,9,,,,,,,can calculate by combining data from Tables 2 and 3; might have to look at original portuguese table 2 to see alignment
32,47,Aspectos ecológicos de la anidación,2016,"González–Desales, G.A., O. Monroy–Vilchis,",r(spearman)= -0.6786,-,-0.6957699,"Emailed Spearmans correlations, then converted",Crocodilia,Caiman,crocodilus chaipasius,Caiman_crocodilus_chiapasius,7,31.5,27.07,35.9,1.94,,,
